ID,title,author,price,stock
11111111-1111-1111-1111-111111111111,The Silent Forest,R.K. Sharma,499.99,25
22222222-2222-2222-2222-222222222222,Learning SAP CAP,Anil Kumar,699.00,40
33333333-3333-3333-3333-333333333333,Cloud Computing Basics,Priya Reddy,550.50,18
44444444-4444-4444-4444-444444444444,Node.js Essentials,Rahul Verma,450.00,32
55555555-5555-5555-5555-555555555555,Mastering JavaScript,Neha Patel,799.95,20
66666666-6666-6666-6666-666666666666,Database Systems,Amit Singh,620.00,15
77777777-7777-7777-7777-777777777777,The AI Revolution,John Smith,899.00,28
88888888-8888-8888-8888-888888888888,Python Programming,Sneha Nair,750.00,35
99999999-9999-9999-9999-999999999999,Data Structures,Mahesh Rao,580.00,22
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Operating Systems,Kiran Das,640.00,17
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,Web Development Guide,Arjun Mehta,725.50,29
cccccccc-cccc-cccc-cccc-cccccccccccc,Machine Learning Basics,Divya Iyer,980.00,14
dddddddd-dddd-dddd-dddd-dddddddddddd,Software Engineering,Lakshmi Raman,670.75,31
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,Clean Code,Robert Martin,850.00,19
ffffffff-ffff-ffff-ffff-ffffffffffff,Algorithms Unlocked,Thomas Cormen,910.00,12
12121212-1212-1212-1212-121212121212,Introduction to SQL,Ravi Teja,430.00,38
13131313-1313-1313-1313-131313131313,Advanced HANA,Suresh Yadav,995.00,16
14141414-1414-1414-1414-141414141414,Fiori Development Guide,Pooja Mishra,780.00,24
15151515-1515-1515-1515-151515151515,Microservices with CAP,Harish Chowdary,845.00,27
16161616-1616-1616-1616-161616161616,Enterprise Application Design,Keerthi Raj,920.00,21
